Date,EURO50_change
02/01/2023,-0.08
03/01/2023,-0.14
04/01/2023,-0.68
05/01/2023,0.37
06/01/2023,1.3
09/01/2023,-1.81
10/01/2023,-0.55
11/01/2023,0
12/01/2023,0.51
13/01/2023,-0.01
16/01/2023,0.29
17/01/2023,0.16
18/01/2023,-0.24
19/01/2023,0.44
20/01/2023,1.56
23/01/2023,0.39
24/01/2023,1.12
25/01/2023,-0.63
26/01/2023,-0.37
27/01/2023,-0.04
30/01/2023,2.42
31/01/2023,-0.03
01/02/2023,-0.17
02/02/2023,0.32
03/02/2023,0.77
06/02/2023,0.32
07/02/2023,2.77
08/02/2023,0.53
09/02/2023,-0.63
10/02/2023,-0.08
13/02/2023,1.2
14/02/2023,2.59
15/02/2023,-0.66
16/02/2023,4.26
17/02/2023,-3.17
20/02/2023,2.52
21/02/2023,-4.55
22/02/2023,-4.6
23/02/2023,-3.59
24/02/2023,-0.31
27/02/2023,1.37
28/02/2023,-1.56
01/03/2023,-0.92
02/03/2023,-0.57
03/03/2023,-1.16
06/03/2023,1.09
07/03/2023,-0.15
08/03/2023,-0.5
09/03/2023,-1.02
10/03/2023,0.41
13/03/2023,0.72
14/03/2023,0.77
15/03/2023,1.42
16/03/2023,-0.58
17/03/2023,0.93
20/03/2023,-1.43
21/03/2023,-1.49
22/03/2023,-0.94
23/03/2023,0.57
24/03/2023,1.89
27/03/2023,-2.77
28/03/2023,1.41
29/03/2023,-0.16
30/03/2023,-1
31/03/2023,1.47
03/04/2023,-0.11
04/04/2023,-0.39
05/04/2023,0.25
06/04/2023,0
11/04/2023,-1.31
12/04/2023,0.25
13/04/2023,0.48
14/04/2023,-0.13
17/04/2023,1.75
18/04/2023,0.27
19/04/2023,0.61
20/04/2023,0.62
21/04/2023,-0.58
24/04/2023,1.62
25/04/2023,0.12
26/04/2023,0.89
27/04/2023,-1.3
28/04/2023,0.09
02/05/2023,0.99
03/05/2023,0.67
04/05/2023,0.14
05/05/2023,-0.59
08/05/2023,0.04
09/05/2023,0.22
10/05/2023,0.77
11/05/2023,0.03
12/05/2023,0.31
15/05/2023,0.81
16/05/2023,1.48
17/05/2023,1.04
18/05/2023,0.53
19/05/2023,-0.46
22/05/2023,-0.81
23/05/2023,0.43
24/05/2023,-0.31
25/05/2023,0.5
26/05/2023,2.36
29/05/2023,-0.94
30/05/2023,0.45
31/05/2023,0.55
01/06/2023,-0.6
02/06/2023,0.84
05/06/2023,0.1
06/06/2023,-0.19
07/06/2023,-0.34
08/06/2023,-1.58
09/06/2023,0.3
12/06/2023,-0.09
13/06/2023,-0.42
14/06/2023,0.05
15/06/2023,0.12
16/06/2023,0.15
19/06/2023,-0.68
20/06/2023,0.15
21/06/2023,0.53
22/06/2023,0.66
23/06/2023,0.83
26/06/2023,0.66
27/06/2023,0.88
28/06/2023,0.96
29/06/2023,0.54
30/06/2023,-0.61
03/07/2023,-0.79
04/07/2023,0.23
05/07/2023,0.7
06/07/2023,0.55
07/07/2023,-0.45
10/07/2023,-0.82
11/07/2023,-0.09
12/07/2023,-0.8
13/07/2023,1.97
14/07/2023,-0.09
17/07/2023,-2.25
18/07/2023,1.07
19/07/2023,-1.01
20/07/2023,1.07
21/07/2023,-1.43
24/07/2023,0.38
25/07/2023,-0.53
26/07/2023,1.04
27/07/2023,-1.19
28/07/2023,-1.3
31/07/2023,-0.4
01/08/2023,0.54
02/08/2023,0.15
03/08/2023,0.26
04/08/2023,-0.34
07/08/2023,-0.04
08/08/2023,-0.9
09/08/2023,0.79
10/08/2023,0.79
11/08/2023,-0.77
14/08/2023,-1.87
15/08/2023,0.74
16/08/2023,0.68
17/08/2023,-0.25
18/08/2023,0.68
21/08/2023,-0.42
22/08/2023,0.3
23/08/2023,0.68
24/08/2023,-0.85
25/08/2023,0.18
28/08/2023,-0.93
29/08/2023,-1.32
30/08/2023,0.69
31/08/2023,2.35
01/09/2023,-0.48
04/09/2023,1.13
05/09/2023,0.29
06/09/2023,-1.45
07/09/2023,2.24
08/09/2023,-0.52
11/09/2023,0.69
12/09/2023,-0.34
13/09/2023,0.62
14/09/2023,1.06
15/09/2023,0.35
18/09/2023,-0.66
19/09/2023,0.86
20/09/2023,-1.6
21/09/2023,-0.68
22/09/2023,-1.31
25/09/2023,-1.22
26/09/2023,0.3
27/09/2023,-0.17
28/09/2023,1.08
29/09/2023,0.29
02/10/2023,0.04
03/10/2023,-0.25
04/10/2023,0.5
05/10/2023,-0.01
06/10/2023,0.57
09/10/2023,-0.28
10/10/2023,0.64
11/10/2023,0.68
12/10/2023,1.7
13/10/2023,0.7
16/10/2023,0.49
17/10/2023,-0.07
18/10/2023,0.14
19/10/2023,0.01
20/10/2023,2.03
23/10/2023,0.08
24/10/2023,-1.45
25/10/2023,-2.67
26/10/2023,-2.2
27/10/2023,0.66
30/10/2023,0.53
31/10/2023,-0.97
01/11/2023,1.06
02/11/2023,-1.04
03/11/2023,-1.12
06/11/2023,0.4
07/11/2023,1.45
08/11/2023,-0.88
09/11/2023,-0.44
10/11/2023,-1.14
13/11/2023,-0.71
14/11/2023,-1.19
15/11/2023,1.34
16/11/2023,0.35
17/11/2023,1.13
20/11/2023,-1.33
21/11/2023,-0.19
22/11/2023,-0.16
23/11/2023,0.44
24/11/2023,1.21
27/11/2023,-0.48
28/11/2023,0.73
29/11/2023,-0.18
30/11/2023,-0.27
01/12/2023,-0.41
04/12/2023,-0.3
05/12/2023,0.89
06/12/2023,-0.82
07/12/2023,1.27
08/12/2023,-0.61
11/12/2023,0.72
12/12/2023,0.85
13/12/2023,-1.95
14/12/2023,-1.97
15/12/2023,1.4
18/12/2023,-1.02
19/12/2023,-0.69
20/12/2023,-0.35
21/12/2023,0.66
22/12/2023,1.66
27/12/2023,-1
28/12/2023,0.4
29/12/2023,0.03
02/01/2024,0.38
03/01/2024,-1.33
04/01/2024,-0.57
05/01/2024,0.47
08/01/2024,-0.04
09/01/2024,0.25
10/01/2024,-0.43
11/01/2024,-0.54
12/01/2024,0.2
15/01/2024,-0.16
16/01/2024,-0.56
17/01/2024,0.41
18/01/2024,0.03
19/01/2024,-0.12
22/01/2024,0.61
23/01/2024,0.32
24/01/2024,0.44
25/01/2024,1.19
26/01/2024,0.73
29/01/2024,0.62
30/01/2024,-0.62
31/01/2024,0
01/02/2024,-1.2
02/02/2024,-0.51
05/02/2024,1.37
06/02/2024,-1.02
07/02/2024,-0.37
08/02/2024,1.44
09/02/2024,0.38
12/02/2024,-0.37
13/02/2024,0.46
14/02/2024,-0.06
15/02/2024,-1.35
16/02/2024,0.59
19/02/2024,-0.23
20/02/2024,-0.68
21/02/2024,0.2
22/02/2024,-1.09
23/02/2024,0.62
26/02/2024,-1.1
27/02/2024,0.03
28/02/2024,0.54
29/02/2024,-0.81
01/03/2024,0.03
04/03/2024,0.35
05/03/2024,0.4
06/03/2024,0.26
07/03/2024,-0.42
08/03/2024,1.04
11/03/2024,-0.15
12/03/2024,0.5
13/03/2024,-0.07
14/03/2024,-0.14
15/03/2024,-0.15
18/03/2024,0.35
19/03/2024,1.07
20/03/2024,-0.62
21/03/2024,-0.26
22/03/2024,1.19
25/03/2024,0.46
26/03/2024,-0.4
27/03/2024,0.37
28/03/2024,0.35
02/04/2024,-0.12
03/04/2024,-0.04
04/04/2024,0.44
05/04/2024,-0.17
08/04/2024,0.35
09/04/2024,1.68
10/04/2024,0.32
11/04/2024,-0.06
12/04/2024,-0.05
15/04/2024,0.47
16/04/2024,0.72
17/04/2024,0.43
18/04/2024,-1.2
19/04/2024,0.65
22/04/2024,0.11
23/04/2024,0.68
24/04/2024,-0.26
25/04/2024,0.76
26/04/2024,0.02
29/04/2024,0.34
30/04/2024,-0.21
01/05/2024,-0.31
02/05/2024,0.5
03/05/2024,0.08
06/05/2024,1.16
07/05/2024,0.4
08/05/2024,2.2
09/05/2024,-0.32
10/05/2024,0.71
13/05/2024,-0.09
14/05/2024,1.13
15/05/2024,-0.98
16/05/2024,-0.18
17/05/2024,-0.57
20/05/2024,0.85
21/05/2024,-0.6
22/05/2024,0.04
23/05/2024,-0.41
24/05/2024,0.49
27/05/2024,-0.23
28/05/2024,0.58
29/05/2024,-1.43
30/05/2024,-0.2
31/05/2024,0.16
03/06/2024,-0.31
04/06/2024,0.15
05/06/2024,-0.07
06/06/2024,-0.2
07/06/2024,-0.03
10/06/2024,0.32
11/06/2024,-0.62
12/06/2024,0.23
13/06/2024,0.2
14/06/2024,-0.14
17/06/2024,-0.08
18/06/2024,0.37
19/06/2024,1.11
20/06/2024,-0.21
21/06/2024,0.68
24/06/2024,0.86
25/06/2024,-0.08
26/06/2024,0.82
27/06/2024,0.27
28/06/2024,0.52
01/07/2024,-0.15
02/07/2024,-0.4
03/07/2024,0.25
04/07/2024,0.21
05/07/2024,0.46
08/07/2024,-0.24
09/07/2024,0.04
10/07/2024,0.89
11/07/2024,-0.3
12/07/2024,0.55
15/07/2024,1.41
16/07/2024,0.83
17/07/2024,-0.75
18/07/2024,1.21
19/07/2024,0.6
22/07/2024,-0.13
23/07/2024,-0.38
24/07/2024,0.12
25/07/2024,1.9
26/07/2024,0.75
29/07/2024,0.81
30/07/2024,0.35
31/07/2024,-0.87
01/08/2024,-0.59
02/08/2024,0.2
05/08/2024,0.58
06/08/2024,0.42
07/08/2024,-1.61
08/08/2024,-0.38
09/08/2024,-1.12
12/08/2024,0.06
13/08/2024,0.33
14/08/2024,-1.48
15/08/2024,-0.06
16/08/2024,-0.11
19/08/2024,2.25
20/08/2024,-0.77
21/08/2024,1.09
22/08/2024,0
23/08/2024,0.1
26/08/2024,-1.02
27/08/2024,-0.89
28/08/2024,0.31
29/08/2024,0.72
30/08/2024,0.06
02/09/2024,-0.92
03/09/2024,-0.95
04/09/2024,-0.13
05/09/2024,-1.48
06/09/2024,0.78
09/09/2024,-0.07
10/09/2024,-1.14
11/09/2024,0.36
12/09/2024,1.33
13/09/2024,-0.44
16/09/2024,-0.28
17/09/2024,0.4
18/09/2024,0.38
19/09/2024,-0.41
20/09/2024,-0.72
23/09/2024,-0.25
24/09/2024,-0.06
25/09/2024,-0.34
26/09/2024,-0.42
27/09/2024,-0.26
30/09/2024,0.76
01/10/2024,1.36
02/10/2024,0.1
03/10/2024,-0.81
04/10/2024,0.15
07/10/2024,0.84
08/10/2024,0.28
09/10/2024,-0.35
10/10/2024,-1.32
11/10/2024,-0.1
14/10/2024,-0.96
15/10/2024,0.21
16/10/2024,-1.43
17/10/2024,1.55
18/10/2024,0.66
21/10/2024,-1.12
22/10/2024,0.11
23/10/2024,0.66
24/10/2024,-0.73
25/10/2024,-1.61
28/10/2024,-1.43
29/10/2024,0.11
30/10/2024,0.43
31/10/2024,2.33
01/11/2024,-1.03
04/11/2024,0.19
05/11/2024,-0.19
06/11/2024,0.4
07/11/2024,0.26
08/11/2024,-0.17
11/11/2024,0.3
12/11/2024,-0.98
13/11/2024,0.19
14/11/2024,0.72
15/11/2024,1.72
18/11/2024,0.71
19/11/2024,0.47
20/11/2024,0.32
21/11/2024,-2.93
22/11/2024,-0.92
25/11/2024,-0.16
26/11/2024,-0.02
27/11/2024,1.02
28/11/2024,0.23
29/11/2024,0.92
02/12/2024,0.58
03/12/2024,0.21
04/12/2024,-0.76
05/12/2024,-0.42
06/12/2024,-0.47
09/12/2024,-0.44
10/12/2024,-0.74
11/12/2024,0.68
12/12/2024,-0.25
13/12/2024,0.65
16/12/2024,0.72
17/12/2024,0.62
18/12/2024,-0.18
19/12/2024,0.13
20/12/2024,-0.08
23/12/2024,0.05
24/12/2024,-0.7
27/12/2024,1.55
30/12/2024,0.94
31/12/2024,-1.71
02/01/2025,-0.66
03/01/2025,-0.4
06/01/2025,1.59
07/01/2025,0.14
08/01/2025,-1.81
09/01/2025,-0.99
10/01/2025,-0.22
13/01/2025,0.64
14/01/2025,1.02
15/01/2025,0.18
16/01/2025,-0.02
17/01/2025,-0.03
20/01/2025,0.19
21/01/2025,0.07
22/01/2025,-0.38
23/01/2025,-0.59
24/01/2025,0.19
27/01/2025,1.25
28/01/2025,-0.54
29/01/2025,0.36
30/01/2025,-1.48
31/01/2025,0.03
03/02/2025,0.24
04/02/2025,-0.69
05/02/2025,-0.54
06/02/2025,-0.15
07/02/2025,0.54
10/02/2025,-0.2
11/02/2025,-0.01
12/02/2025,0.6
13/02/2025,-0.53
14/02/2025,0.63
17/02/2025,0.67
18/02/2025,0.02
19/02/2025,0.55
20/02/2025,0.26
21/02/2025,-0.39
24/02/2025,0.1
25/02/2025,-0.09
26/02/2025,0.69
27/02/2025,1.28
28/02/2025,1.51
03/03/2025,0.09
04/03/2025,0.82
05/03/2025,-1.82
06/03/2025,0.27
07/03/2025,0.34
10/03/2025,1.51
11/03/2025,1.34
12/03/2025,-1.26
13/03/2025,2.03
14/03/2025,-3.46
17/03/2025,2.02
18/03/2025,-3.14
19/03/2025,-1.32
20/03/2025,-0.05
21/03/2025,0.22
24/03/2025,-0.81
25/03/2025,0.44
26/03/2025,1.28
27/03/2025,0.59
28/03/2025,-0.53
31/03/2025,-0.23
01/04/2025,1.66
02/04/2025,-1.86
03/04/2025,0.36
04/04/2025,-0.18
07/04/2025,-0.49
08/04/2025,-0.09
09/04/2025,-0.52
10/04/2025,0.4
11/04/2025,0.97
14/04/2025,-0.06
15/04/2025,1.03
16/04/2025,-1.23
17/04/2025,0.97
22/04/2025,0
23/04/2025,0.09
24/04/2025,-1.23
25/04/2025,0.4
28/04/2025,1.67
29/04/2025,0.19
30/04/2025,0.12
02/05/2025,-0.46
05/05/2025,0.1
06/05/2025,0.62
07/05/2025,-0.12
08/05/2025,0.05
09/05/2025,0.75
12/05/2025,0.63
13/05/2025,-1.92
14/05/2025,0
15/05/2025,0.42
16/05/2025,0.15
19/05/2025,0.58
20/05/2025,0.66
21/05/2025,1.04
22/05/2025,-0.27
23/05/2025,1.26
26/05/2025,1.47
27/05/2025,-0.36
28/05/2025,2.36
29/05/2025,0.68
30/05/2025,1.65
